length, amount, time, algorithm, discard
        10,       1,     130.23,                        cache_hash, 1
        10,       2,      88.16,                        cache_hash, 1
        10,       5,      74.48,                        cache_hash, 1
        10,       9,      96.38,                        cache_hash, 1
        10,      10,     122.52,                        cache_hash, 1
       100,       1,     127.06,                        cache_hash, 1
       100,       2,      85.38,                        cache_hash, 1
       100,       5,      61.87,                        cache_hash, 1
       100,      10,      54.81,                        cache_hash, 1
       100,      20,      54.30,                        cache_hash, 1
       100,      50,      63.41,                        cache_hash, 1
       100,      90,     103.38,                        cache_hash, 1
       100,      95,     123.86,                        cache_hash, 1
       100,     100,     205.35,                        cache_hash, 1
       500,       1,     122.48,                        cache_hash, 1
       500,       2,      82.61,                        cache_hash, 1
       500,       5,      58.32,                        cache_hash, 1
       500,      10,      52.62,                        cache_hash, 1
       500,      20,      47.82,                        cache_hash, 1
       500,      25,      47.88,                        cache_hash, 1
       500,      50,      50.48,                        cache_hash, 1
       500,     100,      58.62,                        cache_hash, 1
       500,     200,      66.18,                        cache_hash, 1
       500,     250,      69.99,                        cache_hash, 1
       500,     450,     130.64,                        cache_hash, 1
       500,     475,     134.54,                        cache_hash, 1
       500,     500,     267.20,                        cache_hash, 1
      1000,       1,     123.70,                        cache_hash, 1
      1000,       2,      89.33,                        cache_hash, 1
      1000,       5,      66.57,                        cache_hash, 1
      1000,      10,      59.72,                        cache_hash, 1
      1000,      20,      48.62,                        cache_hash, 1
      1000,      50,      50.04,                        cache_hash, 1
      1000,     100,      54.29,                        cache_hash, 1
      1000,     200,      50.50,                        cache_hash, 1
      1000,     500,      62.15,                        cache_hash, 1
      1000,     900,     120.44,                        cache_hash, 1
      1000,     950,     126.84,                        cache_hash, 1
      1000,    1000,     312.78,                        cache_hash, 1
   1000000,       1,     152.76,                        cache_hash, 1
   1000000,       2,     102.46,                        cache_hash, 1
   1000000,       5,      70.70,                        cache_hash, 1
   1000000,      10,      59.17,                        cache_hash, 1
   1000000,      20,      53.95,                        cache_hash, 1
   1000000,      50,      53.05,                        cache_hash, 1
   1000000,     100,      52.72,                        cache_hash, 1
   1000000,     200,      53.05,                        cache_hash, 1
   1000000,     500,      49.09,                        cache_hash, 1
   1000000,    1000,      49.42,                        cache_hash, 1
   1000000,   10000,      52.13,                        cache_hash, 1
   1000000,   20000,      54.36,                        cache_hash, 1
   1000000,   50000,      59.69,                        cache_hash, 1
   1000000,  100000,      62.12,                        cache_hash, 1
   1000000,  200000,      87.39,                        cache_hash, 1
   1000000,  500000,     209.90,                        cache_hash, 1
   1000000,  900000,     382.71,                        cache_hash, 3
   1000000,  950000,     483.19,                        cache_hash, 4
1000000000,       1,     125.59,                        cache_hash, 1
1000000000,       2,      85.36,                        cache_hash, 1
1000000000,       5,      59.91,                        cache_hash, 1
1000000000,      10,      50.83,                        cache_hash, 1
1000000000,      20,      47.63,                        cache_hash, 1
1000000000,      50,      46.20,                        cache_hash, 1
1000000000,     100,      48.45,                        cache_hash, 1
1000000000,     200,      46.56,                        cache_hash, 1
1000000000,     500,      42.57,                        cache_hash, 1
1000000000,    1000,      42.26,                        cache_hash, 1
1000000000,   10000,      43.76,                        cache_hash, 1
1000000000,   20000,      46.19,                        cache_hash, 1
1000000000,   50000,      49.19,                        cache_hash, 1
