length, amount, time, algorithm, discard
        10,       1,     113.72,                        cache_hash, 1
        10,       2,      76.39,                        cache_hash, 1
        10,       5,      62.17,                        cache_hash, 1
        10,       9,      85.59,                        cache_hash, 1
        10,      10,     109.85,                        cache_hash, 1
       100,       1,     114.76,                        cache_hash, 1
       100,       2,      73.52,                        cache_hash, 1
       100,       5,      50.96,                        cache_hash, 1
       100,      10,      44.05,                        cache_hash, 1
       100,      20,      47.07,                        cache_hash, 1
       100,      50,      59.19,                        cache_hash, 1
       100,      90,      97.77,                        cache_hash, 1
       100,      95,     118.85,                        cache_hash, 1
       100,     100,     199.05,                        cache_hash, 1
       500,       1,     110.60,                        cache_hash, 1
       500,       2,      73.96,                        cache_hash, 1
       500,       5,      48.43,                        cache_hash, 1
       500,      10,      40.78,                        cache_hash, 1
       500,      20,      41.19,                        cache_hash, 1
       500,      25,      43.22,                        cache_hash, 1
       500,      50,      44.35,                        cache_hash, 1
       500,     100,      46.29,                        cache_hash, 1
       500,     200,      52.83,                        cache_hash, 1
       500,     250,      51.81,                        cache_hash, 1
       500,     450,     108.04,                        cache_hash, 1
       500,     475,     107.64,                        cache_hash, 1
       500,     500,     228.10,                        cache_hash, 1
      1000,       1,     109.85,                        cache_hash, 1
      1000,       2,      70.54,                        cache_hash, 1
      1000,       5,      48.19,                        cache_hash, 1
      1000,      10,      40.35,                        cache_hash, 1
      1000,      20,      40.69,                        cache_hash, 1
      1000,      50,      43.19,                        cache_hash, 1
      1000,     100,      43.90,                        cache_hash, 1
      1000,     200,      46.09,                        cache_hash, 1
      1000,     500,      51.16,                        cache_hash, 1
      1000,     900,     108.47,                        cache_hash, 1
      1000,     950,     108.59,                        cache_hash, 1
      1000,    1000,     251.44,                        cache_hash, 1
   1000000,       1,     109.74,                        cache_hash, 1
   1000000,       2,      69.96,                        cache_hash, 1
   1000000,       5,      48.05,                        cache_hash, 1
   1000000,      10,      40.09,                        cache_hash, 1
   1000000,      20,      40.30,                        cache_hash, 1
   1000000,      50,      42.07,                        cache_hash, 1
   1000000,     100,      42.88,                        cache_hash, 1
   1000000,     200,      41.12,                        cache_hash, 1
   1000000,     500,      34.07,                        cache_hash, 1
   1000000,    1000,      34.41,                        cache_hash, 1
   1000000,   10000,      37.93,                        cache_hash, 1
   1000000,   20000,      39.80,                        cache_hash, 1
   1000000,   50000,      46.99,                        cache_hash, 1
   1000000,  100000,      62.08,                        cache_hash, 1
   1000000,  200000,      63.56,                        cache_hash, 1
   1000000,  500000,     194.65,                        cache_hash, 1
   1000000,  900000,     378.48,                        cache_hash, 3
   1000000,  950000,     485.57,                        cache_hash, 4
1000000000,       1,     111.59,                        cache_hash, 1
1000000000,       2,      70.06,                        cache_hash, 1
1000000000,       5,      48.06,                        cache_hash, 1
1000000000,      10,      40.18,                        cache_hash, 1
1000000000,      20,      40.26,                        cache_hash, 1
1000000000,      50,      42.09,                        cache_hash, 1
1000000000,     100,      41.54,                        cache_hash, 1
1000000000,     200,      40.95,                        cache_hash, 1
1000000000,     500,      34.12,                        cache_hash, 1
1000000000,    1000,      34.19,                        cache_hash, 1
1000000000,   10000,      37.53,                        cache_hash, 1
1000000000,   20000,      40.25,                        cache_hash, 1
1000000000,   50000,      47.89,                        cache_hash, 1
1000000000,  100000,      60.19,                        cache_hash, 1
1000000000,  200000,      56.25,                        cache_hash, 1
1000000000,  500000,     139.58,                        cache_hash, 1
1000000000,  900000,     153.93,                        cache_hash, 1
1000000000,  950000,     162.45,                        cache_hash, 1
        10,       1,      57.15,                         cache_vec, 1
        10,       2,      34.93,                         cache_vec, 1
        10,       5,      26.65,                         cache_vec, 1
        10,       9,      42.59,                         cache_vec, 1
        10,      10,      58.57,                         cache_vec, 1
       100,       1,      56.73,                         cache_vec, 1
       100,       2,      33.87,                         cache_vec, 1
       100,       5,      21.20,                         cache_vec, 1
       100,      10,      17.43,                         cache_vec, 1
       100,      20,      18.85,                         cache_vec, 1
       100,      50,      32.79,                         cache_vec, 1
       100,      90,      74.14,                         cache_vec, 1
       100,      95,      91.25,                         cache_vec, 1
       100,     100,     158.51,                         cache_vec, 1
       500,       1,      56.71,                         cache_vec, 1
       500,       2,      34.00,                         cache_vec, 1
       500,       5,      20.90,                         cache_vec, 1
       500,      10,      16.45,                         cache_vec, 1
       500,      20,      15.33,                         cache_vec, 1
       500,      25,      15.91,                         cache_vec, 1
       500,      50,      20.45,                         cache_vec, 1
       500,     100,      31.57,                         cache_vec, 1
       500,     200,      51.31,                         cache_vec, 1
       500,     250,      64.55,                         cache_vec, 1
       500,     450,     156.45,                         cache_vec, 1
       500,     475,     201.20,                         cache_vec, 1
       500,     500,     457.03,                         cache_vec, 1
      1000,       1,      56.95,                         cache_vec, 1
      1000,       2,      33.79,                         cache_vec, 1
      1000,       5,      20.98,                         cache_vec, 1
      1000,      10,      16.35,                         cache_vec, 1
      1000,      20,      14.88,                         cache_vec, 1
      1000,      50,      18.99,                         cache_vec, 1
      1000,     100,      28.66,                         cache_vec, 1
      1000,     200,      44.53,                         cache_vec, 1
      1000,     500,      95.13,                         cache_vec, 1
      1000,     900,     256.13,                         cache_vec, 1
      1000,     950,     329.52,                         cache_vec, 1
      1000,    1000,     849.03,                         cache_vec, 1
   1000000,       1,      56.64,                         cache_vec, 1
   1000000,       2,      33.78,                         cache_vec, 1
   1000000,       5,      20.92,                         cache_vec, 1
   1000000,      10,      16.23,                         cache_vec, 1
   1000000,      20,      14.32,                         cache_vec, 1
   1000000,      50,      17.03,                         cache_vec, 1
   1000000,     100,      23.06,                         cache_vec, 1
   1000000,     200,      36.37,                         cache_vec, 1
   1000000,     500,      72.43,                         cache_vec, 1
   1000000,    1000,     122.68,                         cache_vec, 1
   1000000,   10000,    1119.00,                         cache_vec, 1
   1000000,   20000,    2307.79,                         cache_vec, 1
   1000000,   50000,    6094.60,                         cache_vec, 3
1000000000,       1,      57.21,                         cache_vec, 1
1000000000,       2,      33.86,                         cache_vec, 1
1000000000,       5,      20.84,                         cache_vec, 1
1000000000,      10,      16.22,                         cache_vec, 1
1000000000,      20,      14.23,                         cache_vec, 1
1000000000,      50,      17.04,                         cache_vec, 1
1000000000,     100,      22.78,                         cache_vec, 1
1000000000,     200,      35.88,                         cache_vec, 1
1000000000,     500,      71.98,                         cache_vec, 1
1000000000,    1000,     122.63,                         cache_vec, 1
1000000000,   10000,    1115.97,                         cache_vec, 1
1000000000,   20000,    2241.20,                         cache_vec, 1
1000000000,   50000,    5884.89,                         cache_vec, 2
        10,       1,      57.58,                  cache_sorted_vec, 1
        10,       2,      38.31,                  cache_sorted_vec, 1
        10,       5,      36.27,                  cache_sorted_vec, 1
        10,       9,      62.16,                  cache_sorted_vec, 1
        10,      10,      84.86,                  cache_sorted_vec, 1
       100,       1,      57.72,                  cache_sorted_vec, 1
       100,       2,      37.38,                  cache_sorted_vec, 1
       100,       5,      29.22,                  cache_sorted_vec, 1
       100,      10,      31.88,                  cache_sorted_vec, 1
       100,      20,      39.30,                  cache_sorted_vec, 1
       100,      50,      59.49,                  cache_sorted_vec, 1
       100,      90,     117.47,                  cache_sorted_vec, 1
       100,      95,     142.28,                  cache_sorted_vec, 1
       100,     100,     236.21,                  cache_sorted_vec, 1
       500,       1,      60.16,                  cache_sorted_vec, 1
       500,       2,      37.62,                  cache_sorted_vec, 1
       500,       5,      28.98,                  cache_sorted_vec, 1
       500,      10,      30.54,                  cache_sorted_vec, 1
       500,      20,      35.81,                  cache_sorted_vec, 1
       500,      25,      37.57,                  cache_sorted_vec, 1
       500,      50,      45.54,                  cache_sorted_vec, 1
       500,     100,      55.92,                  cache_sorted_vec, 1
       500,     200,      71.39,                  cache_sorted_vec, 1
       500,     250,      78.95,                  cache_sorted_vec, 1
       500,     450,     151.43,                  cache_sorted_vec, 1
       500,     475,     184.63,                  cache_sorted_vec, 1
       500,     500,     386.46,                  cache_sorted_vec, 1
      1000,       1,      57.99,                  cache_sorted_vec, 1
      1000,       2,      37.30,                  cache_sorted_vec, 1
      1000,       5,      28.73,                  cache_sorted_vec, 1
      1000,      10,      30.37,                  cache_sorted_vec, 1
      1000,      20,      35.46,                  cache_sorted_vec, 1
      1000,      50,      44.48,                  cache_sorted_vec, 1
      1000,     100,      52.86,                  cache_sorted_vec, 1
      1000,     200,      62.58,                  cache_sorted_vec, 1
      1000,     500,      89.04,                  cache_sorted_vec, 1
      1000,     900,     169.36,                  cache_sorted_vec, 1
      1000,     950,     205.62,                  cache_sorted_vec, 1
      1000,    1000,     459.27,                  cache_sorted_vec, 1
   1000000,       1,      57.71,                  cache_sorted_vec, 1
   1000000,       2,      37.19,                  cache_sorted_vec, 1
   1000000,       5,      28.65,                  cache_sorted_vec, 1
   1000000,      10,      30.01,                  cache_sorted_vec, 1
   1000000,      20,      34.74,                  cache_sorted_vec, 1
   1000000,      50,      44.87,                  cache_sorted_vec, 1
   1000000,     100,      50.76,                  cache_sorted_vec, 1
   1000000,     200,      56.29,                  cache_sorted_vec, 1
   1000000,     500,      66.38,                  cache_sorted_vec, 1
   1000000,    1000,      78.17,                  cache_sorted_vec, 1
   1000000,   10000,     294.61,                  cache_sorted_vec, 1
   1000000,   20000,     587.00,                  cache_sorted_vec, 1
   1000000,   50000,    1564.46,                  cache_sorted_vec, 1
   1000000,  100000,    4045.74,                  cache_sorted_vec, 4
   1000000,  200000,    9159.66,                  cache_sorted_vec, 10
1000000000,       1,      58.35,                  cache_sorted_vec, 1
1000000000,       2,      37.63,                  cache_sorted_vec, 1
1000000000,       5,      28.67,                  cache_sorted_vec, 1
1000000000,      10,      30.04,                  cache_sorted_vec, 1
1000000000,      20,      34.84,                  cache_sorted_vec, 1
1000000000,      50,      43.22,                  cache_sorted_vec, 1
1000000000,     100,      50.80,                  cache_sorted_vec, 1
1000000000,     200,      57.74,                  cache_sorted_vec, 1
1000000000,     500,      66.49,                  cache_sorted_vec, 1
1000000000,    1000,      78.67,                  cache_sorted_vec, 1
1000000000,   10000,     294.00,                  cache_sorted_vec, 1
1000000000,   20000,     585.68,                  cache_sorted_vec, 1
1000000000,   50000,    1566.76,                  cache_sorted_vec, 1
1000000000,  100000,    4030.16,                  cache_sorted_vec, 4
1000000000,  200000,    9187.21,                  cache_sorted_vec, 11
        10,       1,     114.79,                       cache_btree, 1
        10,       2,      76.37,                       cache_btree, 1
        10,       5,      63.39,                       cache_btree, 1
        10,       9,      88.86,                       cache_btree, 1
        10,      10,     112.19,                       cache_btree, 1
       100,       1,     113.80,                       cache_btree, 1
       100,       2,      74.44,                       cache_btree, 1
       100,       5,      54.21,                       cache_btree, 1
       100,      10,      56.47,                       cache_btree, 1
       100,      20,      71.16,                       cache_btree, 1
       100,      50,      87.64,                       cache_btree, 1
       100,      90,     139.51,                       cache_btree, 1
       100,      95,     164.22,                       cache_btree, 1
       100,     100,     259.51,                       cache_btree, 1
       500,       1,     114.70,                       cache_btree, 1
       500,       2,      75.15,                       cache_btree, 1
       500,       5,      54.56,                       cache_btree, 1
       500,      10,      54.47,                       cache_btree, 1
       500,      20,      66.77,                       cache_btree, 1
       500,      25,      69.28,                       cache_btree, 1
       500,      50,      74.39,                       cache_btree, 1
       500,     100,      80.17,                       cache_btree, 1
       500,     200,      96.82,                       cache_btree, 1
       500,     250,     103.77,                       cache_btree, 1
       500,     450,     170.29,                       cache_btree, 1
       500,     475,     204.20,                       cache_btree, 1
       500,     500,     398.31,                       cache_btree, 1
      1000,       1,     113.78,                       cache_btree, 1
      1000,       2,      74.24,                       cache_btree, 1
      1000,       5,      53.48,                       cache_btree, 1
      1000,      10,      53.24,                       cache_btree, 1
      1000,      20,      65.97,                       cache_btree, 1
      1000,      50,      72.79,                       cache_btree, 1
      1000,     100,      77.35,                       cache_btree, 1
      1000,     200,      88.73,                       cache_btree, 1
      1000,     500,     109.15,                       cache_btree, 1
      1000,     900,     181.04,                       cache_btree, 1
      1000,     950,     216.37,                       cache_btree, 1
      1000,    1000,     489.93,                       cache_btree, 1
   1000000,       1,     114.88,                       cache_btree, 1
   1000000,       2,      74.14,                       cache_btree, 1
   1000000,       5,      53.77,                       cache_btree, 1
   1000000,      10,      52.73,                       cache_btree, 1
   1000000,      20,      64.71,                       cache_btree, 1
   1000000,      50,      71.63,                       cache_btree, 1
   1000000,     100,      74.79,                       cache_btree, 1
   1000000,     200,      82.80,                       cache_btree, 1
   1000000,     500,      87.63,                       cache_btree, 1
   1000000,    1000,      92.51,                       cache_btree, 1
   1000000,   10000,     113.47,                       cache_btree, 1
   1000000,   20000,     121.39,                       cache_btree, 1
   1000000,   50000,     136.21,                       cache_btree, 1
   1000000,  100000,     150.98,                       cache_btree, 1
   1000000,  200000,     173.21,                       cache_btree, 1
   1000000,  500000,     277.90,                       cache_btree, 1
   1000000,  900000,     664.22,                       cache_btree, 5
   1000000,  950000,     845.50,                       cache_btree, 8
1000000000,       1,     115.91,                       cache_btree, 1
1000000000,       2,      74.63,                       cache_btree, 1
1000000000,       5,      53.70,                       cache_btree, 1
1000000000,      10,      52.71,                       cache_btree, 1
1000000000,      20,      64.77,                       cache_btree, 1
1000000000,      50,      71.78,                       cache_btree, 1
1000000000,     100,      74.94,                       cache_btree, 1
1000000000,     200,      82.60,                       cache_btree, 1
